step,obs_base_lin_vel_x,obs_base_lin_vel_y,obs_base_lin_vel_z,obs_base_ang_vel_x,obs_base_ang_vel_y,obs_base_ang_vel_z,obs_projected_gravity_x,obs_projected_gravity_y,obs_projected_gravity_z,obs_pose_commands_0,obs_pose_commands_1,obs_pose_commands_2,obs_pose_commands_3,obs_joint_pos_FL_HAA,obs_joint_pos_FR_HAA,obs_joint_pos_HL_HAA,obs_joint_pos_HR_HAA,obs_joint_pos_FL_HFE,obs_joint_pos_FR_HFE,obs_joint_pos_HL_HFE,obs_joint_pos_HR_HFE,obs_joint_pos_FL_KFE,obs_joint_pos_FR_KFE,obs_joint_pos_HL_KFE,obs_joint_pos_HR_KFE,obs_joint_pos_HL_AFE,obs_joint_pos_HR_AFE,obs_joint_vel_FL_HAA,obs_joint_vel_FR_HAA,obs_joint_vel_HL_HAA,obs_joint_vel_HR_HAA,obs_joint_vel_FL_HFE,obs_joint_vel_FR_HFE,obs_joint_vel_HL_HFE,obs_joint_vel_HR_HFE,obs_joint_vel_FL_KFE,obs_joint_vel_FR_KFE,obs_joint_vel_HL_KFE,obs_joint_vel_HR_KFE,obs_joint_vel_HL_AFE,obs_joint_vel_HR_AFE,obs_actions_FL_HAA,obs_actions_FR_HAA,obs_actions_HL_HAA,obs_actions_HR_HAA,obs_actions_FL_HFE,obs_actions_FR_HFE,obs_actions_HL_HFE,obs_actions_HR_HFE,obs_actions_FL_KFE,obs_actions_FR_KFE,obs_actions_HL_KFE,obs_actions_HR_KFE,obs_actions_HL_AFE,obs_actions_HR_AFE,obs_time_remaining_s_0,policy_action_FL_HAA,policy_action_FR_HAA,policy_action_HL_HAA,policy_action_HR_HAA,policy_action_FL_HFE,policy_action_FR_HFE,policy_action_HL_HFE,policy_action_HR_HFE,policy_action_FL_KFE,policy_action_FR_KFE,policy_action_HL_KFE,policy_action_HR_KFE,policy_action_HL_AFE,policy_action_HR_AFE,actuator_target_pos_FL_HAA,actuator_target_pos_FR_HAA,actuator_target_pos_HL_HAA,actuator_target_pos_HR_HAA,actuator_target_pos_FL_HFE,actuator_target_pos_FR_HFE,actuator_target_pos_HL_HFE,actuator_target_pos_HR_HFE,actuator_target_pos_FL_KFE,actuator_target_pos_FR_KFE,actuator_target_pos_HL_KFE,actuator_target_pos_HR_KFE,actuator_target_pos_HL_AFE,actuator_target_pos_HR_AFE,robot_measured_pos_FL_HAA,robot_measured_pos_FR_HAA,robot_measured_pos_HL_HAA,robot_measured_pos_HR_HAA,robot_measured_pos_FL_HFE,robot_measured_pos_FR_HFE,robot_measured_pos_HL_HFE,robot_measured_pos_HR_HFE,robot_measured_pos_FL_KFE,robot_measured_pos_FR_KFE,robot_measured_pos_HL_KFE,robot_measured_pos_HR_KFE,robot_measured_pos_HL_AFE,robot_measured_pos_HR_AFE
0,-0.38471150398254395,-0.14251066744327545,-0.1666981279850006,-0.30943918228149414,0.3028516471385956,0.1462295949459076,-2.846082836072128e-08,-1.1671708932681213e-07,-0.9999996423721313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19587254524230957,-0.04636719822883606,0.21484240889549255,-0.07524627447128296,0.5620492100715637,0.29027658700942993,0.6365944147109985,0.4185260534286499,0.6244698762893677,0.11539173126220703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-0.433979868888855,-0.289598286151886,-0.9754859209060669,0.34546130895614624,-0.49268990755081177,-0.038581326603889465,0.26393768191337585,0.44030818343162537,0.765995979309082,0.8741461634635925,-0.6540163159370422,-0.12997771799564362,0.35304608941078186,0.051289863884449005,-0.2169899344444275,-0.144799143075943,-0.48774296045303345,0.17273065447807312,0.16385504603385925,0.390909343957901,-0.5661311149597168,-0.47794586420059204,-0.8886020183563232,-0.8345268964767456,1.348991870880127,1.6110111474990845,-1.5453768968582153,-1.696255087852478,-0.02477593719959259,-0.0039014313369989395,-0.05527736246585846,-0.02767425775527954,0.5848935842514038,0.4198276400566101,-0.46067342162132263,-0.6902260780334473,-0.7681507468223572,-1.0901294946670532,2.289942979812622,1.9812679290771484,-1.3014156818389893,-1.6338021755218506
0,-0.2927365005016327,0.0028901961632072926,-0.0023303539492189884,0.4585031569004059,0.34486034512519836,0.2886382043361664,0.003967477008700371,-0.0009477616986259818,-0.9999912977218628,-0.33053648471832275,-3.15187668800354,0.0008614063262939453,1.7718803882598877,-0.02477593719959259,-0.0039014313369989395,-0.05527736246585846,-0.02767425775527954,0.17469358444213867,0.00962764024734497,0.2374265491962433,0.007873892784118652,0.5034492611885071,0.18147051334381104,0.6139429807662964,0.30526793003082275,0.4204843044281006,0.08809781074523926,-0.41686490178108215,-1.075008749961853,-4.242772579193115,-2.1250863075256348,-0.8200000524520874,1.4296157360076904,1.3465920686721802,5.619156360626221,-2.739936351776123,6.959075450897217,-4.336415767669678,-9.041595458984375,9.711605072021484,5.627263069152832,-0.433979868888855,-0.289598286151886,-0.9754859209060669,0.34546130895614624,-0.49268990755081177,-0.038581326603889465,0.26393768191337585,0.44030818343162537,0.765995979309082,0.8741461634635925,-0.6540163159370422,-0.12997771799564362,0.35304608941078186,0.051289863884449005,5.980000019073486,-0.19386251270771027,0.6027776598930359,-0.7990960478782654,0.5722770690917969,-0.4759729504585266,0.07938414812088013,0.14012578129768372,0.16757097840309143,0.9158865809440613,0.5639259219169617,-0.7301055788993835,-0.4204872250556946,0.3841780722141266,-0.24062737822532654,-0.09693125635385513,0.30138882994651794,-0.3995480239391327,0.28613853454589844,0.17221352458000183,0.4498920738697052,-0.6280370950698853,-0.6143144965171814,-0.8136566877365112,-0.989637017250061,1.3109471797943115,1.4657564163208008,-1.529810905456543,-1.8422136306762695,-0.02803998999297619,-0.00011017856741091236,-0.14341917634010315,-0.04419839754700661,0.582960307598114,0.4542742371559143,-0.4222523272037506,-0.5633324384689331,-0.7926560640335083,-1.1181401014328003,2.177708387374878,1.7801158428192139,-1.3569591045379639,-1.689753532409668
0,-0.2577730417251587,-0.08243691176176071,0.06476876139640808,0.3314119875431061,0.23419342935085297,0.029582936316728592,0.0084493113681674,-0.00832307618111372,-0.9999294877052307,-0.33298683166503906,-3.1501340866088867,-3.3855438232421875e-05,1.7694380283355713,-0.02803998999297619,-0.00011017856741091236,-0.14341917634010315,-0.04419839754700661,0.17276030778884888,0.04407423734664917,0.2758476436138153,0.1347675323486328,0.47894394397735596,0.15345990657806396,0.5017083883285522,0.10411584377288818,0.364940881729126,0.032146453857421875,-0.34997794032096863,1.0649981498718262,-4.174998760223389,-0.12406013906002045,0.09329955279827118,1.0650478601455688,1.7896287441253662,6.205020904541016,-1.2313730716705322,1.0093424320220947,-8.185195922851562,-11.788154602050781,10.269375801086426,9.269804000854492,-0.19386251270771027,0.6027776598930359,-0.7990960478782654,0.5722770690917969,-0.4759729504585266,0.07938414812088013,0.14012578129768372,0.16757097840309143,0.9158865809440613,0.5639259219169617,-0.7301055788993835,-0.4204872250556946,0.3841780722141266,-0.24062737822532654,5.960000038146973,-0.1866963654756546,0.6095771193504333,-0.665353536605835,0.49201831221580505,-0.5493029356002808,0.08965042233467102,0.09906341135501862,0.21500882506370544,1.0258419513702393,0.6429305076599121,-0.627080500125885,-0.4836839735507965,0.3560059666633606,-0.26273372769355774,-0.0933481827378273,0.3047885596752167,-0.3326767683029175,0.24600915610790253,0.13554853200912476,0.45502519607543945,-0.6485682725906372,-0.590595543384552,-0.7586790323257446,-0.9501347541809082,1.3624597787857056,1.4341579675674438,-1.543897032737732,-1.8532668352127075,-0.025437714532017708,0.008988713845610619,-0.20590098202228546,-0.017990941181778908,0.5681123733520508,0.4608953893184662,-0.3866463005542755,-0.4475553035736084,-0.7877845764160156,-1.131712794303894,1.9979203939437866,1.5716078281402588,-1.391059398651123,-1.729206919670105
0,-0.31900736689567566,-0.17334376275539398,0.07038091868162155,0.23447470366954803,-0.12426600605249405,-0.03599884733557701,0.008649286814033985,-0.01104616466909647,-0.9999015927314758,-0.3282853066921234,-3.1473238468170166,-0.001299142837524414,1.7690908908843994,-0.025437714532017708,0.008988713845610619,-0.20590098202228546,-0.017990941181778908,0.15791237354278564,0.05069538950920105,0.3114536702632904,0.2505446672439575,0.48381543159484863,0.13988721370697021,0.32192039489746094,-0.1043921709060669,0.3308405876159668,-0.007306933403015137,0.0871172696352005,0.0775771364569664,-2.633073329925537,1.7794314622879028,-0.7289307117462158,-0.5519932508468628,1.7288520336151123,5.000811576843262,0.33659878373146057,-0.02633523941040039,-10.987533569335938,-10.351022720336914,7.417050361633301,7.634832859039307,-0.1866963654756546,0.6095771193504333,-0.665353536605835,0.49201831221580505,-0.5493029356002808,0.08965042233467102,0.09906341135501862,0.21500882506370544,1.0258419513702393,0.6429305076599121,-0.627080500125885,-0.4836839735507965,0.3560059666633606,-0.26273372769355774,5.940000057220459,-0.15678802132606506,0.640469491481781,-0.7389070987701416,0.36665078997612,-0.5221682190895081,0.15214422345161438,0.15084801614284515,0.3717835247516632,1.069332480430603,0.6878125071525574,-0.5785983204841614,-0.6600281596183777,0.28596755862236023,-0.18852606415748596,-0.07839401066303253,0.3202347457408905,-0.3694535493850708,0.18332539498806,0.1491158902645111,0.48627209663391113,-0.6226759552955627,-0.5122082233428955,-0.7369337677955627,-0.9276937246322632,1.3867008686065674,1.3459858894348145,-1.5789161920547485,-1.8161630630493164,-0.019204001873731613,0.015856871381402016,-0.2519993185997009,0.001974022714421153,0.5353512763977051,0.44282376766204834,-0.34340086579322815,-0.36972326040267944,-0.7395936250686646,-1.1131277084350586,1.7666902542114258,1.4778167009353638,-1.4160001277923584,-1.83543860912323
0,-0.38765430450439453,-0.1908176839351654,0.0574822872877121,0.08599767088890076,-0.509416937828064,-0.3067748546600342,0.0006572428392246366,-0.01384382601827383,-0.9999040365219116,-0.31091782450675964,-3.14455509185791,-0.0022912623826414347,1.7723557949066162,-0.019204001873731613,0.015856871381402016,-0.2519993185997009,0.001974022714421153,0.12515127658843994,0.0326237678527832,0.35469910502433777,0.3283767104148865,0.5320063829421997,0.15847229957580566,0.0906902551651001,-0.19818329811096191,0.30589985847473145,-0.11353862285614014,0.32384341955184937,0.48151859641075134,-2.160201072692871,-0.03139183670282364,-1.5952657461166382,-1.0234404802322388,2.405205011367798,2.730074882507324,2.783329486846924,1.1180152893066406,-13.453452110290527,-0.8729395866394043,9.92539119720459,2.964531898498535,-0.15678802132606506,0.640469491481781,-0.7389070987701416,0.36665078997612,-0.5221682190895081,0.15214422345161438,0.15084801614284515,0.3717835247516632,1.069332480430603,0.6878125071525574,-0.5785983204841614,-0.6600281596183777,0.28596755862236023,-0.18852606415748596,5.920000076293945,-0.11623050272464752,0.3558502793312073,-0.6778326630592346,0.534939169883728,-0.3743923604488373,0.21091321110725403,0.44069093465805054,0.5341629385948181,1.0674325227737427,0.5752402544021606,-0.4876454472541809,-0.7807925343513489,0.01525748148560524,-0.1329014003276825,-0.05811525136232376,0.17792513966560364,-0.3389163315296173,0.267469584941864,0.2230038195848465,0.515656590461731,-0.47775450348854065,-0.43101850152015686,-0.7378837466239929,-0.9839798808097839,1.4321773052215576,1.2856037616729736,-1.7142711877822876,-1.7883507013320923,0.004175024107098579,0.04342455789446831,-0.2686079740524292,0.01835746131837368,0.5136231184005737,0.4226160943508148,-0.30395060777664185,-0.31831231713294983,-0.700802743434906,-1.0788401365280151,1.611700177192688,1.4524775743484497,-1.4719839096069336,-1.9020144939422607
0,-0.3994804918766022,-0.26407045125961304,-0.03948895260691643,-0.9161861538887024,-0.8196465373039246,-0.2943463623523712,-0.011711343191564083,-0.0018964509945362806,-0.9999294877052307,-0.2820608615875244,-3.1419053077697754,-0.002311468357220292,1.7790849208831787,0.004175024107098579,0.04342455789446831,-0.2686079740524292,0.01835746131837368,0.1034231185913086,0.012416094541549683,0.3941493630409241,0.3797876536846161,0.5707972645759583,0.19275987148284912,-0.0642998218536377,-0.22352242469787598,0.24991607666015625,-0.1801145076751709,1.550149917602539,1.8450496196746826,0.6413478255271912,1.2834669351577759,-0.5145788788795471,-0.819161593914032,-0.08352066576480865,2.643544912338257,1.2070598602294922,1.8012197017669678,4.154484272003174,-1.1224300861358643,-5.155653953552246,-6.120625019073486,-0.11623050272464752,0.3558502793312073,-0.6778326630592346,0.534939169883728,-0.3743923604488373,0.21091321110725403,0.44069093465805054,0.5341629385948181,1.0674325227737427,0.5752402544021606,-0.4876454472541809,-0.7807925343513489,0.01525748148560524,-0.1329014003276825,5.900000095367432,0.006955265998840332,0.26210570335388184,-0.2501850128173828,0.7822971940040588,-0.32757246494293213,0.42831945419311523,0.874788224697113,0.37069806456565857,1.2181224822998047,0.6313461065292358,-1.080967903137207,-0.9399877190589905,0.04575314000248909,-0.05439267307519913,0.003477632999420166,0.13105285167694092,-0.1250925064086914,0.3911485970020294,0.24641376733779907,0.6243597269058228,-0.2607058584690094,-0.5127509236335754,-0.6625387668609619,-0.9559269547462463,1.1355160474777222,1.2060061693191528,-1.6990233659744263,-1.7490962743759155,0.04346181079745293,0.09126941114664078,-0.24441812932491302,0.04770107567310333,0.5001322031021118,0.418989360332489,-0.2648286819458008,-0.2893794775009155,-0.6729332208633423,-1.045342206954956,1.6311993598937988,1.4326248168945312,-1.5949944257736206,-1.9636996984481812
0,-0.30760034918785095,-0.3272721469402313,0.008868858218193054,-1.063629388809204,-0.3803900480270386,-0.5121808648109436,-0.022336069494485855,0.02118539996445179,-0.9995256662368774,-0.24994704127311707,-3.1376888751983643,-0.0019880535546690226,1.787172555923462,0.04346181079745293,0.09126941114664078,-0.24441812932491302,0.04770107567310333,0.08993220329284668,0.008789360523223877,0.43327128887176514,0.4087204933166504,0.598666787147522,0.2262578010559082,-0.044800639152526855,-0.24337518215179443,0.12690556049346924,-0.2417997121810913,1.897574782371521,2.648261070251465,0.9815785884857178,1.3317219018936157,-0.3676164150238037,0.19531144201755524,2.884955883026123,0.7211227416992188,0.7073501348495483,3.04636812210083,-0.08442993462085724,-0.8440059423446655,-5.5269389152526855,-1.9160423278808594,0.006955265998840332,0.26210570335388184,-0.2501850128173828,0.7822971940040588,-0.32757246494293213,0.42831945419311523,0.874788224697113,0.37069806456565857,1.2181224822998047,0.6313461065292358,-1.080967903137207,-0.9399877190589905,0.04575314000248909,-0.05439267307519913,5.880000114440918,0.18252764642238617,0.17451120913028717,-0.11128716170787811,0.9142048358917236,-0.3499557077884674,0.47337794303894043,0.6882676482200623,0.5150133371353149,1.4219285249710083,0.44818446040153503,-0.9960095286369324,-1.011930227279663,-0.10253779590129852,-0.022530175745487213,0.09126382321119308,0.08725560456514359,-0.055643580853939056,0.4571024179458618,0.23522214591503143,0.6468889713287354,-0.3539661467075348,-0.44059330224990845,-0.5606357455253601,-1.0475077629089355,1.177995204925537,1.1700348854064941,-1.773168921470642,-1.7331650257110596,0.08587444573640823,0.14874151349067688,-0.21730941534042358,0.07746948301792145,0.47812581062316895,0.44773516058921814,-0.1915704905986786,-0.28225377202033997,-0.6353151798248291,-1.0619227886199951,1.5947396755218506,1.4102225303649902,-1.7170430421829224,-1.9824773073196411
0,-0.22879721224308014,-0.40386655926704407,0.08142947405576706,-0.9449763894081116,-0.05161553993821144,-0.5753592252731323,-0.025360912084579468,0.04387959837913513,-0.998714804649353,-0.21297185122966766,-3.132262945175171,-0.003028690814971924,1.797318696975708,0.08587444573640823,0.14874151349067688,-0.21730941534042358,0.07746948301792145,0.06792581081390381,0.037535160779953,0.5065294504165649,0.41584619879722595,0.6362848281860352,0.20967721939086914,-0.0812603235244751,-0.26577746868133545,0.0048569440841674805,-0.26057732105255127,1.9394785165786743,2.7281930446624756,0.9065409302711487,1.2921619415283203,-0.8991163372993469,1.8047493696212769,3.945188045501709,0.08767915517091751,1.4141228199005127,-0.03998839482665062,-2.439549684524536,-1.1313060522079468,-6.643347263336182,-0.42616721987724304,0.18252764642238617,0.17451120913028717,-0.11128716170787811,0.9142048358917236,-0.3499557077884674,0.47337794303894043,0.6882676482200623,0.5150133371353149,1.4219285249710083,0.44818446040153503,-0.9960095286369324,-1.011930227279663,-0.10253779590129852,-0.022530175745487213,5.860000133514404,0.26295238733291626,0.17219410836696625,-0.16144846379756927,0.7927166819572449,-0.48088538646698,0.37915462255477905,0.46253377199172974,0.6140291094779968,1.5380977392196655,0.3218197822570801,-0.7997928857803345,-0.9451584219932556,-0.2385530322790146,-0.045086733996868134,0.13147619366645813,0.08609705418348312,-0.08072423189878464,0.39635834097862244,0.16975730657577515,0.599777340888977,-0.46683308482170105,-0.3910854160785675,-0.5025511384010315,-1.1106901168823242,1.2761034965515137,1.2034207582473755,-1.8411765098571777,-1.7444432973861694,0.12376178801059723,0.1930253505706787,-0.1929779052734375,0.10238843411207199,0.43527013063430786,0.4907836318016052,-0.13289989531040192,-0.2905334234237671,-0.5678050518035889,-1.1010171175003052,1.5388180017471313,1.391647219657898,-1.7943092584609985,-1.9796111583709717
0,-0.23467107117176056,-0.46358808875083923,0.11551783233880997,-0.5450092554092407,0.1829468458890915,-0.5471267700195312,-0.022955477237701416,0.05979765206575394,-0.9979462623596191,-0.1756054162979126,-3.125387191772461,-0.005278408993035555,1.8077247142791748,0.12376178801059723,0.1930253505706787,-0.1929779052734375,0.10238843411207199,0.025070130825042725,0.08058363199234009,0.5652000904083252,0.40756654739379883,0.7037949562072754,0.17058289051055908,-0.13718199729919434,-0.28435277938842773,-0.07240927219390869,-0.25771117210388184,1.6129041910171509,1.757513165473938,0.9197556972503662,1.003857970237732,-2.1070303916931152,2.101686477661133,2.41607403755188,-0.7088282108306885,3.1259171962738037,-0.8482829332351685,-2.810802936553955,-0.7235478162765503,-2.9781861305236816,0.4253067672252655,0.26295238733291626,0.17219410836696625,-0.16144846379756927,0.7927166819572449,-0.48088538646698,0.37915462255477905,0.46253377199172974,0.6140291094779968,1.5380977392196655,0.3218197822570801,-0.7997928857803345,-0.9451584219932556,-0.2385530322790146,-0.045086733996868134,5.840000152587891,0.16516129672527313,0.2584773600101471,-0.3459268808364868,0.5295960307121277,-0.5714367032051086,0.2637988328933716,0.4730410575866699,0.7421594262123108,1.5243703126907349,0.4214591383934021,-0.7043899297714233,-0.7743967175483704,-0.1915235072374344,-0.08831902593374252,0.08258064836263657,0.12923868000507355,-0.1729634404182434,0.26479801535606384,0.12448164820671082,0.5420994162559509,-0.46157944202423096,-0.3270202577114105,-0.5094148516654968,-1.0608704090118408,1.3238050937652588,1.288801670074463,-1.8176617622375488,-1.7660595178604126,0.14933551847934723,0.20812930166721344,-0.17850050330162048,0.11540286988019943,0.37823230028152466,0.5214335322380066,-0.11861380934715271,-0.3165997564792633,-0.4864867329597473,-1.0734857320785522,1.4968198537826538,1.3859758377075195,-1.8086332082748413,-1.967239499092102
0,-0.2724679708480835,-0.4743403196334839,0.06930388510227203,0.1807396113872528,0.4927132725715637,-0.4842814803123474,-0.015137603506445885,0.06264527887105942,-0.9979209899902344,-0.13858844339847565,-3.1177010536193848,-0.007370353676378727,1.8178350925445557,0.14933551847934723,0.20812930166721344,-0.17850050330162048,0.11540286988019943,-0.03196769952774048,0.11123353242874146,0.5794861316680908,0.3815002143383026,0.7851132750511169,0.198114275932312,-0.17918014526367188,-0.29002416133880615,-0.08673322200775146,-0.2453395128250122,0.8784672021865845,0.13780175149440765,0.41494274139404297,0.33841654658317566,-2.6860756874084473,1.437862515449524,-0.05632710084319115,-1.5568830966949463,3.545222759246826,0.6905109882354736,-1.7122589349746704,-0.05545372515916824,0.34237566590309143,0.6401703953742981,0.16516129672527313,0.2584773600101471,-0.3459268808364868,0.5295960307121277,-0.5714367032051086,0.2637988328933716,0.4730410575866699,0.7421594262123108,1.5243703126907349,0.4214591383934021,-0.7043899297714233,-0.7743967175483704,-0.1915235072374344,-0.08831902593374252,5.820000171661377,-0.05344995856285095,0.4833664894104004,-0.584788978099823,0.242171972990036,-0.6607044339179993,0.12335626780986786,0.6768531799316406,0.8608531355857849,1.3820059299468994,0.6178006529808044,-0.6608765125274658,-0.5355318784713745,-0.07920022308826447,-0.17218998074531555,-0.026724979281425476,0.2416832447052002,-0.2923944890499115,0.121085986495018,0.0798477828502655,0.47187814116477966,-0.3596733808517456,-0.26767340302467346,-0.5805970430374146,-0.9626996517181396,1.3455617427825928,1.4082341194152832,-1.7615001201629639,-1.8079949617385864,0.1546291559934616,0.20258170366287231,-0.18166232109069824,0.11048946529626846,0.33536675572395325,0.5353718400001526,-0.13785427808761597,-0.35644862055778503,-0.4518108069896698,-1.037527084350586,1.4710826873779297,1.3972315788269043,-1.7802077531814575,-1.9603720903396606
