timestamp_s,obs_0: base_lin_vel_x,obs_1: base_lin_vel_y,obs_2: base_lin_vel_z,obs_3: base_ang_vel_x,obs_4: base_ang_vel_y,obs_5: base_ang_vel_z,obs_6: projected_gravity_x,obs_7: projected_gravity_y,obs_8: projected_gravity_z,obs_9: pose_commands_cmd_0,obs_10: pose_commands_cmd_1,obs_11: pose_commands_cmd_2,obs_12: pose_commands_cmd_3,obs_13: joint_pos_FL_HAA,obs_14: joint_pos_FR_HAA,obs_15: joint_pos_HL_HAA,obs_16: joint_pos_HR_HAA,obs_17: joint_pos_FL_HFE,obs_18: joint_pos_FR_HFE,obs_19: joint_pos_HL_HFE,obs_20: joint_pos_HR_HFE,obs_21: joint_pos_FL_KFE,obs_22: joint_pos_FR_KFE,obs_23: joint_pos_HL_KFE,obs_24: joint_pos_HR_KFE,obs_25: joint_pos_HL_AFE,obs_26: joint_pos_HR_AFE,obs_27: joint_vel_FL_HAA,obs_28: joint_vel_FR_HAA,obs_29: joint_vel_HL_HAA,obs_30: joint_vel_HR_HAA,obs_31: joint_vel_FL_HFE,obs_32: joint_vel_FR_HFE,obs_33: joint_vel_HL_HFE,obs_34: joint_vel_HR_HFE,obs_35: joint_vel_FL_KFE,obs_36: joint_vel_FR_KFE,obs_37: joint_vel_HL_KFE,obs_38: joint_vel_HR_KFE,obs_39: joint_vel_HL_AFE,obs_40: joint_vel_HR_AFE,obs_41: actions_FL_HAA,obs_42: actions_FR_HAA,obs_43: actions_HL_HAA,obs_44: actions_HR_HAA,obs_45: actions_FL_HFE,obs_46: actions_FR_HFE,obs_47: actions_HL_HFE,obs_48: actions_HR_HFE,obs_49: actions_FL_KFE,obs_50: actions_FR_KFE,obs_51: actions_HL_KFE,obs_52: actions_HR_KFE,obs_53: actions_HL_AFE,obs_54: actions_HR_AFE,obs_55: time_remaining_s_time,action_IA_FL_HAA,action_IA_FR_HAA,action_IA_HL_HAA,action_IA_HR_HAA,action_IA_FL_HFE,action_IA_FR_HFE,action_IA_HL_HFE,action_IA_HR_HFE,action_IA_FL_KFE,action_IA_FR_KFE,action_IA_HL_KFE,action_IA_HR_KFE,action_IA_HL_AFE,action_IA_HR_AFE,target_envoyee_FL_HAA,target_envoyee_FL_HFE,target_envoyee_FL_KFE,target_envoyee_FR_HAA,target_envoyee_FR_HFE,target_envoyee_FR_KFE,target_envoyee_HL_HAA,target_envoyee_HL_HFE,target_envoyee_HL_KFE,target_envoyee_HL_AFE,target_envoyee_HR_HAA,target_envoyee_HR_HFE,target_envoyee_HR_KFE,target_envoyee_HR_AFE,position_reelle_FL_HAA,position_reelle_FR_HAA,position_reelle_HL_HAA,position_reelle_HR_HAA,position_reelle_FL_HFE,position_reelle_FR_HFE,position_reelle_HL_HFE,position_reelle_HR_HFE,position_reelle_FL_KFE,position_reelle_FR_KFE,position_reelle_HL_KFE,position_reelle_HR_KFE,position_reelle_HL_AFE,position_reelle_HR_AFE,vitesse_reelle_FL_HAA,vitesse_reelle_FR_HAA,vitesse_reelle_HL_HAA,vitesse_reelle_HR_HAA,vitesse_reelle_FL_HFE,vitesse_reelle_FR_HFE,vitesse_reelle_HL_HFE,vitesse_reelle_HR_HFE,vitesse_reelle_FL_KFE,vitesse_reelle_FR_KFE,vitesse_reelle_HL_KFE,vitesse_reelle_HR_KFE,vitesse_reelle_HL_AFE,vitesse_reelle_HR_AFE
0.026,0.0,0.0,0.0,1.5482342648589012e-14,-1.373412085556476e-14,-2.7908659880186183e-15,-1.6714476332750732e-17,-9.722920471453683e-17,-1.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41019999980926514,0.41019999980926514,-0.6980999708175659,-0.6980999708175659,-1.2716000080108643,-1.2716000080108643,1.6759999990463257,1.6759999990463257,-1.7218999862670898,-1.7218999862670898,9.680064468910437e-15,-9.136168519852453e-15,-3.7853932058947836e-15,-1.263008117145456e-14,-3.392000823762022e-15,8.623539097976467e-15,-3.8832486353021153e-14,-5.1474009245527225e-14,-1.385213541500686e-14,-1.8434377830646442e-14,4.846930894294131e-14,5.34534710331519e-15,-1.3687409529622527e-14,2.344588553252619e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.39100849628448486,-0.1595287024974823,-0.8758519291877747,0.9478938579559326,-0.1147526204586029,0.257143497467041,0.6228396892547607,-0.36817216873168945,1.0004452466964722,0.28021401166915894,0.7977081537246704,1.0928561687469482,-0.5414401888847351,-0.9451898336410522,0.05865127593278885,0.39298707246780396,-1.1215331554412842,-0.023929307237267494,0.44877150654792786,-1.2295678853988647,-0.13137780129909515,-0.6046739816665649,1.7956562042236328,-1.8031160831451416,0.1421840786933899,-0.7533258199691772,1.839928388595581,-1.8636784553527832,0.0,0.0,0.0,0.0,0.41019999980926514,0.41019999980926514,-0.6980999708175659,-0.6980999708175659,-1.2716000080108643,-1.2716000080108643,1.6759999990463257,1.6759999990463257,-1.7218999862670898,-1.7218999862670898,-1.631872669763043e-14,-4.759760616109823e-15,3.816054951552442e-15,-1.6938229019318571e-15,-1.6615920065635864e-14,8.120837749275248e-15,4.142438345469679e-15,-5.1937200742403766e-14,1.4479608104970426e-14,-7.595914491202813e-15,-3.9351591659416254e-16,6.944239020617582e-14,4.361218485415992e-15,-6.200668098551784e-14
0.041,0.0,0.0,0.0,1.908870400613681e-14,1.0815426584377154e-14,1.167587404535668e-16,-6.511996577680451e-17,-2.8127626896776484e-16,-1.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41019999980926514,0.41019999980926514,-0.6980999708175659,-0.6980999708175659,-1.2716000080108643,-1.2716000080108643,1.6759999990463257,1.6759999990463257,-1.7218999862670898,-1.7218999862670898,-2.852436643547944e-14,-2.3828817269518597e-14,-5.755072186495146e-15,-5.004364249519078e-15,-2.0720233458149627e-14,4.842355645829537e-15,2.969549790527576e-14,4.3533119410731416e-14,1.4939008282375058e-14,2.854348778074723e-15,-8.565221557184366e-14,-6.565492642824147e-14,6.885550479394584e-14,6.8374917781431534e-15,0.39100849628448486,-0.1595287024974823,-0.8758519291877747,0.9478938579559326,-0.1147526204586029,0.257143497467041,0.6228396892547607,-0.36817216873168945,1.0004452466964722,0.28021401166915894,0.7977081537246704,1.0928561687469482,-0.5414401888847351,-0.9451898336410522,5.98199987411499,0.2830357253551483,-0.041966844350099564,-0.9571889638900757,0.9921579360961914,-0.25479286909103394,0.21483944356441498,0.6077067255973816,-0.4191116392612457,1.1142213344573975,0.37605956196784973,0.7834069132804871,1.1705553531646729,-0.8093308210372925,-1.0976908206939697,0.08351124823093414,0.359932005405426,-0.9994200468063354,-0.02304554171860218,0.4694259762763977,-1.1857686042785645,-0.23554280400276184,-0.5415457487106323,1.8772704601287842,-1.900151014328003,0.2483525574207306,-0.7996248006820679,1.9663331508636475,-1.9857984781265259,0.0,0.0,0.0,0.0,0.41019999980926514,0.41019999980926514,-0.6980999708175659,-0.6980999708175659,-1.2716000080108643,-1.2716000080108643,1.6759999990463257,1.6759999990463257,-1.7218999862670898,-1.7218999862670898,6.445391333013192e-15,-3.1792311025544834e-14,2.0570919337240586e-15,-2.3450078345615098e-14,2.3586490037155088e-15,1.7604829337489365e-14,2.7038519874130786e-14,-2.4958947262470124e-14,-2.856752445820794e-14,-3.6393045017455924e-14,-8.011388048182605e-14,3.716158850368585e-14,2.075176341257822e-14,-1.62272369749316e-14
0.063,3.1263231694437577e-16,-6.564776391763949e-16,-0.3846299946308136,-3.7712302220936286e-14,1.000361580816853e-15,8.534242343578077e-16,1.0044595626116162e-17,-2.0869913761989678e-16,-1.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41019999980926514,0.41019999980926514,-0.6980999708175659,-0.6980999708175659,-1.2716000080108643,-1.2716000080108643,1.6759999990463257,1.6759999990463257,-1.7218999862670898,-1.7218999862670898,2.129825212948775e-14,1.1648681693711416e-14,2.5976960586391283e-14,-1.7952206866520774e-15,-1.8279880715133152e-14,1.8433112363423244e-14,-2.973707705859058e-14,-1.7987949115796063e-14,8.475113514629096e-15,-2.8511176438424796e-14,4.739002972594525e-14,3.132161481675562e-14,-4.64860016257361e-14,-1.219042448501748e-14,0.2830357253551483,-0.041966844350099564,-0.9571889638900757,0.9921579360961914,-0.25479286909103394,0.21483944356441498,0.6077067255973816,-0.4191116392612457,1.1142213344573975,0.37605956196784973,0.7834069132804871,1.1705553531646729,-0.8093308210372925,-1.0976908206939697,5.960000038146973,0.19727705419063568,-0.009431101381778717,-0.884806752204895,0.9482443928718567,-0.29226019978523254,0.13462874293327332,0.5853816866874695,-0.4326973557472229,1.2507435083389282,0.5105816721916199,0.7192137241363525,1.0693094730377197,-0.8424934148788452,-1.0411760807037354,0.08804943412542343,0.3311733901500702,-0.8934625387191772,-0.01754654571413994,0.47185248136520386,-1.1349307298660278,-0.29760098457336426,-0.5007047653198242,1.9247713088989258,-1.9730496406555176,0.3160834312438965,-0.834071934223175,2.0396294593811035,-2.06280517578125,0.0,0.0,0.0,0.0,0.41019999980926514,0.41019999980926514,-0.6980999708175659,-0.6980999708175659,-1.2716000080108643,-1.2716000080108643,1.6759999990463257,1.6759999990463257,-1.7218999862670898,-1.7218999862670898,-1.590167986165441e-14,6.770951834422171e-15,6.219726085755122e-15,2.0635734298364485e-15,-1.898354825386698e-14,-5.636620981568736e-15,2.3367695921165145e-14,4.526995115171394e-15,1.6796878490421378e-14,1.7075743759514123e-14,-2.9855671835601547e-14,-1.5039701865078754e-14,-6.559753486386731e-15,4.623242621934953e-15
0.082,3.1263231694437577e-16,-6.564776391763949e-16,-0.3846299946308136,-7.265174383321374e-15,2.5218449887784227e-16,-2.227743238090909e-15,1.7774721700335476e-17,-2.832955624267946e-17,-1.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41019999980926514,0.41019999980926514,-0.6980999708175659,-0.6980999708175659,-1.2716000080108643,-1.2716000080108643,1.6759999990463257,1.6759999990463257,-1.7218999862670898,-1.7218999862670898,9.296516091932428e-15,1.1984304099500829e-14,-3.16756716240926e-15,-2.6601306877746533e-15,-1.5167852867800646e-14,9.254287264347065e-15,1.1525823799876916e-14,-5.490066070485376e-15,8.87669183492236e-15,-1.0635313921989473e-15,-3.8159918475978716e-14,1.4307793612608759e-15,2.9241247688190433e-14,4.23859267860904e-15,0.19727705419063568,-0.009431101381778717,-0.884806752204895,0.9482443928718567,-0.29226019978523254,0.13462874293327332,0.5853816866874695,-0.4326973557472229,1.2507435083389282,0.5105816721916199,0.7192137241363525,1.0693094730377197,-0.8424934148788452,-1.0411760807037354,5.941999912261963,0.2067057192325592,-0.01193697564303875,-0.8467062711715698,0.9523415565490723,-0.2847195267677307,0.12525638937950134,0.6290919184684753,-0.4370626211166382,1.2720608711242676,0.5332074165344238,0.7062550187110901,1.040364146232605,-0.8296300172805786,-1.0115015506744385,0.0926404595375061,0.312173455953598,-0.8160946369171143,-0.014073128812015057,0.4721451997756958,-1.0959503650665283,-0.3353266417980194,-0.46555954217910767,1.9560781717300415,-2.0221493244171143,0.3641096353530884,-0.858839750289917,2.086595058441162,-2.1122589111328125,0.0,0.0,0.0,0.0,0.41019999980926514,0.41019999980926514,-0.6980999708175659,-0.6980999708175659,-1.2716000080108643,-1.2716000080108643,1.6759999990463257,1.6759999990463257,-1.7218999862670898,-1.7218999862670898,-1.303236422315994e-15,1.2179138618028263e-14,1.7826834978898823e-14,1.0633631291039752e-14,-1.0995304195121972e-14,6.8966011253343475e-15,-2.350199130088642e-14,-1.862757926965157e-14,1.8463641124908184e-15,-3.974360750713061e-15,4.8620849913468683e-14,7.23358259548763e-15,-2.8496119580754403e-14,1.255402184795586e-14
0.102,6.477729462752585e-16,5.120526771422006e-15,-0.7616437673568726,5.842475398739949e-16,1.7284888899685418e-15,-2.925375031800838e-15,4.3892334119321585e-17,4.740560510012826e-17,-1.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41019999980926514,0.41019999980926514,-0.6980999708175659,-0.6980999708175659,-1.2716000080108643,-1.2716000080108643,1.6759999990463257,1.6759999990463257,-1.7218999862670898,-1.7218999862670898,2.4811804087004896e-14,4.687733592956527e-15,8.008667717169203e-15,7.82541976232726e-15,-1.2410250710653652e-14,5.44849538750003e-15,-1.2674877355903051e-14,-1.1254853724885529e-14,-2.9532830733469727e-15,-5.894852104549892e-15,1.3362911207529405e-14,1.4763904972837439e-15,-1.3513582275219947e-14,3.050618382173043e-15,0.2067057192325592,-0.01193697564303875,-0.8467062711715698,0.9523415565490723,-0.2847195267677307,0.12525638937950134,0.6290919184684753,-0.4370626211166382,1.2720608711242676,0.5332074165344238,0.7062550187110901,1.040364146232605,-0.8296300172805786,-1.0115015506744385,5.920000076293945,0.16392353177070618,-0.018014123663306236,-0.7673215270042419,0.8903326988220215,-0.30404046177864075,0.06680808961391449,0.610864520072937,-0.4296514689922333,1.4154024124145508,0.6454166173934937,0.6328654885292053,0.9036679863929749,-0.8034030795097351,-0.913827121257782,0.0894368514418602,0.29597535729408264,-0.7404358983039856,-0.012553309090435505,0.4635828733444214,-1.0518327951431274,-0.3498268723487854,-0.44369199872016907,1.966984510421753,-2.0525848865509033,0.38842666149139404,-0.8750655651092529,2.098966598510742,-2.132225275039673,0.0,0.0,0.0,0.0,0.41019999980926514,0.41019999980926514,-0.6980999708175659,-0.6980999708175659,-1.2716000080108643,-1.2716000080108643,1.6759999990463257,1.6759999990463257,-1.7218999862670898,-1.7218999862670898,9.443208222353243e-16,-1.283550847226212e-15,-1.9385359084704264e-15,-5.481116743881161e-15,-1.308809644999043e-14,-4.23011218474113e-15,3.016314479545486e-14,6.700236865304172e-15,4.213618759192194e-15,1.0063280808973122e-14,-7.236337316038691e-14,-1.5786168284571446e-14,2.423215403021036e-14,-7.376286471276298e-15
0.124,6.477729462752585e-16,5.120526771422006e-15,-0.7616437673568726,-0.0655033141374588,0.21751423180103302,9.032178058987483e-05,0.00045091667561791837,0.0002586933260317892,-0.9999998807907104,0.20000000298023224,0.0,0.0,0.0,-1.0801658390846569e-05,-9.602651516615879e-06,-8.337881808984093e-06,-1.1032580005121417e-05,0.4102020859718323,0.4102036654949188,-0.6980992555618286,-0.6980950832366943,-1.271599292755127,-1.2716012001037598,1.6760047674179077,1.679136872291565,-1.7219033241271973,-1.7271891832351685,-0.010833673179149628,-0.009630812332034111,-0.008359040133655071,-0.010217756032943726,0.0020924117416143417,0.003666385542601347,0.0007378074806183577,0.004951649345457554,0.000705192273017019,-0.0011540345149114728,0.004814523737877607,3.146265745162964,-0.003328651189804077,-5.304986000061035,0.16392353177070618,-0.018014123663306236,-0.7673215270042419,0.8903326988220215,-0.30404046177864075,0.06680808961391449,0.610864520072937,-0.4296514689922333,1.4154024124145508,0.6454166173934937,0.6328654885292053,0.9036679863929749,-0.8034030795097351,-0.913827121257782,5.89900016784668,0.2036508321762085,-0.047699712216854095,-0.7335712909698486,0.8838133215904236,-0.27068284153938293,0.10919588804244995,0.6507501006126404,-0.38416969776153564,1.4560112953186035,0.6127773523330688,0.7030209302902222,0.8423835635185242,-0.8113030195236206,-0.9057429432868958,0.09315342456102371,0.289640337228775,-0.6813834309577942,-0.015942273661494255,0.4639474153518677,-1.0258463621139526,-0.35491451621055603,-0.42240187525749207,1.9851422309875488,-2.0750749111175537,0.40447068214416504,-0.8796013593673706,2.0984339714050293,-2.144989013671875,0.0011402000673115253,-0.00014039796951692551,0.0005982707371003926,0.0003574858419597149,0.40814071893692017,0.4080478847026825,-0.7042062282562256,-0.7007036805152893,-1.2725616693496704,-1.27254056930542,1.7106915712356567,1.7129331827163696,-1.772691011428833,-1.785037875175476,0.12686149775981903,-0.11962659657001495,0.017737258225679398,0.005097940564155579,-0.41910138726234436,-0.4187418222427368,-0.6627321243286133,-0.6028697490692139,-0.1489727944135666,-0.16190534830093384,2.9363901615142822,2.826648473739624,-4.804986000061035,-4.764104843139648
0.145,0.07499752193689346,0.01550748199224472,-0.6590771675109863,0.022736839950084686,0.09067809581756592,0.02581060864031315,0.009648934938013554,0.00027393302298150957,-0.9999533891677856,0.20000000298023224,0.0,0.0,0.0,0.001459956867620349,-0.0005619959556497633,0.0006234477623365819,0.00025813901447691023,0.42983850836753845,0.4297381639480591,-0.7100405097007751,-0.7080264091491699,-1.321054458618164,-1.3210649490356445,1.7362651824951172,1.7389154434204102,-1.8108512163162231,-1.8202438354492188,-0.015963239595294,-0.019345290958881378,-0.008963520638644695,-0.015052743256092072,2.5186030864715576,2.5257413387298584,-0.6439138650894165,-0.896190345287323,-5.25545597076416,-5.26270866394043,2.3309519290924072,2.469736099243164,-2.849876642227173,-2.4493722915649414,0.2036508321762085,-0.047699712216854095,-0.7335712909698486,0.8838133215904236,-0.27068284153938293,0.10919588804244995,0.6507501006126404,-0.38416969776153564,1.4560112953186035,0.6127773523330688,0.7030209302902222,0.8423835635185242,-0.8113030195236206,-0.9057429432868958,5.877999782562256,0.271851122379303,0.06057026982307434,-0.9081506729125977,0.892062246799469,-0.3830171823501587,-0.041673921048641205,0.6349645256996155,-0.3942188620567322,1.3587781190872192,0.5568798184394836,0.7248364686965942,0.9797084927558899,-0.9963456392288208,-0.991351842880249,0.10598506778478622,0.26835566759109497,-0.6546317338943481,-0.0020740507170557976,0.4415720999240875,-1.016040563583374,-0.3846627473831177,-0.4098666310310364,2.0011250972747803,-2.1185741424560547,0.416938841342926,-0.8842837810516357,2.1186599731445312,-2.1667652130126953,0.001078781671822071,-0.00094338518101722,0.0005074595683254302,0.00010518451745156199,0.4468194246292114,0.4469156563282013,-0.7182672619819641,-0.7187020778656006,-1.357301950454712,-1.3573335409164429,1.7559435367584229,1.7597767114639282,-1.828108549118042,-1.8329448699951172,-0.05592161417007446,-0.05590943619608879,-0.008384186774492264,-0.011516615748405457,1.1021884679794312,1.1332241296768188,-0.9715729355812073,-1.1436827182769775,-2.478248357772827,-2.472804069519043,1.9086099863052368,1.7166084051132202,-1.251678228378296,-0.42511630058288574
0.163,0.07499752193689346,0.01550748199224472,-0.6590771675109863,3.150192975997925,-1.5981754064559937,-0.11450058966875076,0.002718063071370125,-0.016296036541461945,-0.9998635053634644,0.20000000298023224,0.0,0.0,0.0,-0.004858761560171843,-0.006950912531465292,-0.004794621374458075,-0.000926582608371973,0.4479077160358429,0.4530267119407654,-0.7234957218170166,-0.7287677526473999,-1.359534502029419,-1.367944598197937,1.7692705392837524,1.8060908317565918,-1.8374192714691162,-1.918392539024353,-1.9163700342178345,-1.9297411441802979,-1.903806209564209,-0.6691048741340637,-1.4601528644561768,0.5061591863632202,1.194959282875061,-0.6472920775413513,4.018128395080566,0.3428714871406555,0.17574794590473175,11.214435577392578,-1.6049751043319702,-25.706331253051758,0.271851122379303,0.06057026982307434,-0.9081506729125977,0.892062246799469,-0.3830171823501587,-0.041673921048641205,0.6349645256996155,-0.3942188620567322,1.3587781190872192,0.5568798184394836,0.7248364686965942,0.9797084927558899,-0.9963456392288208,-0.991351842880249,5.860000133514404,-0.21805883944034576,0.4447617530822754,-1.0189441442489624,0.7231714725494385,-0.2962473928928375,-0.3093731999397278,0.15853314101696014,-0.038493141531944275,0.9249963164329529,0.7914333939552307,0.7838080525398254,0.3775075078010559,-0.7102931141853333,-1.0193452835083008,0.041480716317892075,0.26647186279296875,-0.7009727954864502,0.06526242941617966,0.3857544958591461,-0.9739934206008911,-0.4221055507659912,-0.4725566506385803,2.0211586952209473,-2.1061158180236816,0.40033289790153503,-0.8342026472091675,2.0424880981445312,-2.1862075328826904,-0.037124600261449814,-0.039581894874572754,-0.04054050147533417,-0.028428001329302788,0.41537410020828247,0.4562140703201294,-0.6902357339859009,-0.731760561466217,-1.2656787633895874,-1.346556305885315,1.760382056236267,1.912583589553833,-1.8618695735931396,-2.117586135864258,-3.953817844390869,-4.0148234367370605,-4.598042964935303,-4.122268199920654,-5.110471248626709,-0.2070438265800476,4.387011528015137,-0.05159158259630203,14.206748962402344,4.0499773025512695,-1.3252917528152466,9.31236743927002,-2.533474922180176,-13.46257495880127
0.18,-0.31304141879081726,-0.33752205967903137,0.592347264289856,3.092484474182129,-2.7662057876586914,-0.631056010723114,-0.04901614040136337,-0.09397874027490616,-0.9943668246269226,0.20000000298023224,0.0,0.0,0.0,-0.07131410390138626,-0.07590094208717346,-0.08496299386024475,-0.06825058907270432,0.3588714897632599,0.44544702768325806,-0.6535537242889404,-0.7255398631095886,-1.1130093336105347,-1.2865129709243774,1.7551876306533813,1.9727752208709717,-1.8740723133087158,-2.180879592895508,-2.140308380126953,-2.9655544757843018,-3.911928653717041,-3.0605509281158447,-6.05435037612915,-1.650821328163147,2.85567569732666,1.0727167129516602,17.1502685546875,7.0074076652526855,0.18147088587284088,3.798670768737793,-0.19351597130298615,-2.6239964962005615,-0.21805883944034576,0.4447617530822754,-1.0189441442489624,0.7231714725494385,-0.2962473928928375,-0.3093731999397278,0.15853314101696014,-0.038493141531944275,0.9249963164329529,0.7914333939552307,0.7838080525398254,0.3775075078010559,-0.7102931141853333,-1.0193452835083008,5.8420000076293945,-0.3921813368797302,0.4954690933227539,-0.7426344752311707,0.6860020160675049,0.05968089774250984,-0.29689013957977295,0.5754655003547668,-0.22579440474510193,0.757319450378418,0.8998225331306458,0.7484064698219299,0.7780474424362183,-0.7414236664772034,-1.1603972911834717,-0.02979070134460926,0.3185424506664276,-0.7585630416870117,0.1200040727853775,0.3485546112060547,-0.928301990032196,-0.4068690538406372,-0.4538998305797577,2.029871940612793,-2.102064609527588,0.38313332200050354,-0.8272410035133362,2.049248695373535,-2.220974922180176,-0.07131410390138626,-0.07590094208717346,-0.08496299386024475,-0.06825058907270432,0.3588714897632599,0.44544702768325806,-0.6535537242889404,-0.7255398631095886,-1.1130093336105347,-1.2865129709243774,1.7551876306533813,1.9727752208709717,-1.8740723133087158,-2.180879592895508,-2.140308380126953,-2.9655544757843018,-3.911928653717041,-3.0605509281158447,-6.05435037612915,-1.650821328163147,2.85567569732666,1.0727167129516602,17.1502685546875,7.0074076652526855,0.18147088587284088,3.798670768737793,-0.19351597130298615,-2.6239964962005615
0.2,-0.31304141879081726,-0.33752205967903137,0.592347264289856,1.9848822355270386,-2.2613778114318848,-1.3340905904769897,-0.09571057558059692,-0.14225544035434723,-0.985191822052002,0.20000000298023224,0.0,0.0,0.0,-0.05850192531943321,-0.1078023761510849,-0.14800943434238434,-0.07178660482168198,0.2886594831943512,0.3956225514411926,-0.6032241582870483,-0.703328013420105,-0.9033475518226624,-1.1303367614746094,1.761776328086853,2.028808832168579,-1.8638137578964233,-2.211718797683716,2.024343252182007,-0.23607003688812256,-2.7538130283355713,1.947307825088501,-1.2346093654632568,-2.6939992904663086,2.5309505462646484,1.2766790390014648,5.577592372894287,7.634284973144531,0.1765652745962143,2.0938000679016113,0.947980523109436,-2.3872172832489014,-0.3921813368797302,0.4954690933227539,-0.7426344752311707,0.6860020160675049,0.05968089774250984,-0.29689013957977295,0.5754655003547668,-0.22579440474510193,0.757319450378418,0.8998225331306458,0.7484064698219299,0.7780474424362183,-0.7414236664772034,-1.1603972911834717,5.822000026702881,-0.9994497895240784,0.6081463694572449,-1.0270531177520752,0.8670539855957031,-0.4132044315338135,-0.5075575113296509,0.8730788826942444,-0.5695040225982666,0.6039686799049377,1.3037654161453247,0.8338944911956787,1.1006019115447998,-0.814905047416687,-1.2605265378952026,-0.17077095806598663,0.2840590476989746,-0.8218788504600525,0.17522481083869934,0.2909145951271057,-0.8357266187667847,-0.4388663172721863,-0.396198034286499,2.0487945079803467,-2.110250949859619,0.3982514441013336,-0.8739243149757385,2.1023645401000977,-2.260331392288208,-0.035660166293382645,-0.09984783828258514,-0.17620466649532318,-0.047583408653736115,0.2824286222457886,0.3734571933746338,-0.5795387029647827,-0.6923329830169678,-0.8559579253196716,-1.0657594203948975,1.7621456384658813,2.04124116897583,-1.8484325408935547,-2.218712091445923,2.3332109451293945,1.4545338153839111,-2.9555249214172363,2.6522727012634277,-0.14679157733917236,-1.755030870437622,2.266195297241211,0.9698337316513062,3.996814250946045,5.4140095710754395,-0.09799104183912277,0.7775735855102539,1.9862098693847656,0.014274837449193
