timestamp_s,obs_0: base_lin_vel_x,obs_1: base_lin_vel_y,obs_2: base_lin_vel_z,obs_3: base_ang_vel_x,obs_4: base_ang_vel_y,obs_5: base_ang_vel_z,obs_6: projected_gravity_x,obs_7: projected_gravity_y,obs_8: projected_gravity_z,obs_9: pose_commands_cmd_0,obs_10: pose_commands_cmd_1,obs_11: pose_commands_cmd_2,obs_12: pose_commands_cmd_3,obs_13: joint_pos_FL_HAA,obs_14: joint_pos_FR_HAA,obs_15: joint_pos_HL_HAA,obs_16: joint_pos_HR_HAA,obs_17: joint_pos_FL_HFE,obs_18: joint_pos_FR_HFE,obs_19: joint_pos_HL_HFE,obs_20: joint_pos_HR_HFE,obs_21: joint_pos_FL_KFE,obs_22: joint_pos_FR_KFE,obs_23: joint_pos_HL_KFE,obs_24: joint_pos_HR_KFE,obs_25: joint_pos_HL_AFE,obs_26: joint_pos_HR_AFE,obs_27: joint_vel_FL_HAA,obs_28: joint_vel_FR_HAA,obs_29: joint_vel_HL_HAA,obs_30: joint_vel_HR_HAA,obs_31: joint_vel_FL_HFE,obs_32: joint_vel_FR_HFE,obs_33: joint_vel_HL_HFE,obs_34: joint_vel_HR_HFE,obs_35: joint_vel_FL_KFE,obs_36: joint_vel_FR_KFE,obs_37: joint_vel_HL_KFE,obs_38: joint_vel_HR_KFE,obs_39: joint_vel_HL_AFE,obs_40: joint_vel_HR_AFE,obs_41: actions_FL_HAA,obs_42: actions_FR_HAA,obs_43: actions_HL_HAA,obs_44: actions_HR_HAA,obs_45: actions_FL_HFE,obs_46: actions_FR_HFE,obs_47: actions_HL_HFE,obs_48: actions_HR_HFE,obs_49: actions_FL_KFE,obs_50: actions_FR_KFE,obs_51: actions_HL_KFE,obs_52: actions_HR_KFE,obs_53: actions_HL_AFE,obs_54: actions_HR_AFE,obs_55: time_remaining_s_time,action_IA_FL_HAA,action_IA_FR_HAA,action_IA_HL_HAA,action_IA_HR_HAA,action_IA_FL_HFE,action_IA_FR_HFE,action_IA_HL_HFE,action_IA_HR_HFE,action_IA_FL_KFE,action_IA_FR_KFE,action_IA_HL_KFE,action_IA_HR_KFE,action_IA_HL_AFE,action_IA_HR_AFE,target_envoyee_FL_HAA,target_envoyee_FR_HAA,target_envoyee_HL_HAA,target_envoyee_HR_HAA,target_envoyee_FL_HFE,target_envoyee_FR_HFE,target_envoyee_HL_HFE,target_envoyee_HR_HFE,target_envoyee_FL_KFE,target_envoyee_FR_KFE,target_envoyee_HL_KFE,target_envoyee_HR_KFE,target_envoyee_HL_AFE,target_envoyee_HR_AFE,position_reelle_FL_HAA,position_reelle_FR_HAA,position_reelle_HL_HAA,position_reelle_HR_HAA,position_reelle_FL_HFE,position_reelle_FR_HFE,position_reelle_HL_HFE,position_reelle_HR_HFE,position_reelle_FL_KFE,position_reelle_FR_KFE,position_reelle_HL_KFE,position_reelle_HR_KFE,position_reelle_HL_AFE,position_reelle_HR_AFE,vitesse_reelle_FL_HAA,vitesse_reelle_FR_HAA,vitesse_reelle_HL_HAA,vitesse_reelle_HR_HAA,vitesse_reelle_FL_HFE,vitesse_reelle_FR_HFE,vitesse_reelle_HL_HFE,vitesse_reelle_HR_HFE,vitesse_reelle_FL_KFE,vitesse_reelle_FR_KFE,vitesse_reelle_HL_KFE,vitesse_reelle_HR_KFE,vitesse_reelle_HL_AFE,vitesse_reelle_HR_AFE
0.101,0.01925666071474552,-0.0016478293109685183,-0.21994513273239136,0.004000836052000523,-0.008715484291315079,0.02423700876533985,0.01792660728096962,-0.0003982364432886243,-0.9998392462730408,0.20000000298023224,0.0,0.0,0.0,0.00044771149987354875,-0.0017800687346607447,0.0003071758837904781,0.00012466407497413456,0.42447441816329956,0.42514437437057495,-0.7184643149375916,-0.717704176902771,-1.320879340171814,-1.3206459283828735,1.7125182151794434,1.7142294645309448,-1.7719615697860718,-1.7744927406311035,-0.019904209300875664,-0.018901599571108818,0.01612633839249611,0.016935398802161217,0.3600483536720276,0.3798043429851532,-0.07736904919147491,-0.07323210686445236,-0.6543176174163818,-0.6385458707809448,0.43405771255493164,0.487531840801239,-0.5015564560890198,-0.5180159211158752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.3835254907608032,-0.15442699193954468,-0.8658910393714905,0.906181812286377,-0.13521897792816162,0.19880828261375427,0.5918844938278198,-0.38594701886177063,1.0497055053710938,0.3224896192550659,0.8000789880752563,1.0606409311294556,-0.5725211501121521,-0.9225512146949768,0.17258647084236145,-0.0694921463727951,-0.38965097069740295,0.40778180956840515,0.3493514657020569,0.49966374039649963,-0.43175193667411804,-0.8717760443687439,-0.799232542514801,-1.1264796257019043,2.0360355377197266,2.1532883644104004,-1.979534387588501,-2.1370480060577393,0.00024794615455903113,-0.0019703975412994623,0.0004878434119746089,0.0003160269116051495,0.4265528619289398,0.42742452025413513,-0.7186530232429504,-0.7178322076797485,-1.3239736557006836,-1.3235564231872559,1.7157177925109863,1.7179675102233887,-1.7758088111877441,-1.7785029411315918,-0.01983020268380642,-0.01893741264939308,0.019661318510770798,0.02085201069712639,0.10635177791118622,0.1265651434659958,0.019776148721575737,0.0276635829359293,-0.09030251204967499,-0.06990703195333481,0.23088032007217407,0.28482919931411743,-0.29813867807388306,-0.31563037633895874
0.103,0.01925666071474552,-0.0016478293109685183,-0.21994513273239136,0.002412545494735241,-0.07951855659484863,0.027091939002275467,0.017376281321048737,-0.0004349241207819432,-0.9998489022254944,0.20000000298023224,0.0,0.0,0.0,0.00024794615455903113,-0.0019703975412994623,0.0004878434119746089,0.0003160269116051495,0.4265528619289398,0.42742452025413513,-0.7186530232429504,-0.7178322076797485,-1.3239736557006836,-1.3235564231872559,1.7157177925109863,1.7179675102233887,-1.7758088111877441,-1.7785029411315918,-0.01983020268380642,-0.01893741264939308,0.019661318510770798,0.02085201069712639,0.10635177791118622,0.1265651434659958,0.019776148721575737,0.0276635829359293,-0.09030251204967499,-0.06990703195333481,0.23088032007217407,0.28482919931411743,-0.29813867807388306,-0.31563037633895874,0.3835254907608032,-0.15442699193954468,-0.8658910393714905,0.906181812286377,-0.13521897792816162,0.19880828261375427,0.5918844938278198,-0.38594701886177063,1.0497055053710938,0.3224896192550659,0.8000789880752563,1.0606409311294556,-0.5725211501121521,-0.9225512146949768,5.998000144958496,0.25909531116485596,-0.032840508967638016,-0.9216740131378174,0.9538953900337219,-0.26476800441741943,0.1589677631855011,0.5865946412086487,-0.44525855779647827,1.1623501777648926,0.4310130178928375,0.7741941809654236,1.1200464963912964,-0.8153131604194641,-1.0658950805664062,0.1338515281677246,-0.021727442741394043,-0.4537183940410614,0.47003111243247986,0.2849695384502411,0.49068182706832886,-0.4074975550174713,-0.9158339500427246,-0.7013056874275208,-1.0631320476531982,2.0603907108306885,2.227749824523926,-2.1145544052124023,-2.243067502975464,0.00024794615455903113,-0.0019703975412994623,0.0004878434119746089,0.0003160269116051495,0.4265528619289398,0.42742452025413513,-0.7186530232429504,-0.7178322076797485,-1.3239736557006836,-1.3235564231872559,1.7157177925109863,1.7179675102233887,-1.7758088111877441,-1.7785029411315918,-0.01983020268380642,-0.01893741264939308,0.019661318510770798,0.02085201069712639,0.10635177791118622,0.1265651434659958,0.019776148721575737,0.0276635829359293,-0.09030251204967499,-0.06990703195333481,0.23088032007217407,0.28482919931411743,-0.29813867807388306,-0.31563037633895874
0.123,-0.004691993817687035,-0.0019457758171483874,-0.07112893462181091,-0.0151875801384449,-0.06533718854188919,0.02254863642156124,0.015740007162094116,-0.00040230629383586347,-0.9998760223388672,0.20000000298023224,0.0,0.0,0.0,7.272241055034101e-05,-0.0021509192883968353,0.0006985515938140452,0.0005391427548602223,0.4267486333847046,0.4278177320957184,-0.7181587815284729,-0.7172490954399109,-1.323223352432251,-1.3225852251052856,1.717020034790039,1.7197933197021484,-1.7778370380401611,-1.7806912660598755,-0.017974477261304855,-0.01725490763783455,0.02198708802461624,0.023196978494524956,-0.03636113926768303,-0.01715393364429474,0.06755802035331726,0.07748536020517349,0.17428584396839142,0.19740867614746094,0.057501573115587234,0.10850419849157333,-0.13520218431949615,-0.15148009359836578,0.25909531116485596,-0.032840508967638016,-0.9216740131378174,0.9538953900337219,-0.26476800441741943,0.1589677631855011,0.5865946412086487,-0.44525855779647827,1.1623501777648926,0.4310130178928375,0.7741941809654236,1.1200464963912964,-0.8153131604194641,-1.0658950805664062,5.979000091552734,0.24425767362117767,-0.003254078794270754,-0.9293423295021057,0.9966304302215576,-0.26167958974838257,0.17146804928779602,0.6288519501686096,-0.4550861120223999,1.1256741285324097,0.4233877956867218,0.7891062498092651,1.1640630960464478,-0.8697910904884338,-1.1199415922164917,0.12330110371112823,-0.0036370796151459217,-0.4635758697986603,0.4954867959022522,0.27992111444473267,0.4954087734222412,-0.3860563337802887,-0.9246620535850525,-0.7080172300338745,-1.060228705406189,2.0695366859436035,2.2550034523010254,-2.152571201324463,-2.2779905796051025,-5.8170262491330504e-05,-0.002230980433523655,0.000974113296251744,0.0008187534986063838,0.4259452223777771,0.4271269738674164,-0.7174240946769714,-0.7165363430976868,-1.3208969831466675,-1.3199331760406494,1.717165231704712,1.7212605476379395,-1.7789292335510254,-1.7830841541290283,0.005123254843056202,0.005498855374753475,0.03717760741710663,0.035922352224588394,-0.10790715366601944,-0.10858675837516785,0.05486934259533882,0.04081924632191658,0.2504933178424835,0.2976876497268677,0.08847913146018982,0.17484557628631592,-0.22844411432743073,-0.2662826180458069
0.143,-0.007202176842838526,-0.0010030349949374795,-0.009754542261362076,0.02023971825838089,0.0343262180685997,0.012302964925765991,0.0157927293330431,-0.00031302249408327043,-0.9998752474784851,0.20000000298023224,0.0,0.0,0.0,-8.014462218852714e-05,-0.0022603461984544992,0.001251553650945425,0.0010958422208204865,0.4244896173477173,0.42572736740112305,-0.7171297073364258,-0.7162728905677795,-1.3183557987213135,-1.3170465230941772,1.717428207397461,1.7218950986862183,-1.7804151773452759,-1.7844109535217285,-0.008558955043554306,-0.008197000250220299,0.02082638628780842,0.02186962030827999,-0.16786357760429382,-0.1584302932024002,0.023161133751273155,0.02510393224656582,0.24985425174236298,0.27593761682510376,-0.05662112683057785,-0.020725658163428307,-0.05460358411073685,-0.0506926029920578,0.24425767362117767,-0.003254078794270754,-0.9293423295021057,0.9966304302215576,-0.26167958974838257,0.17146804928779602,0.6288519501686096,-0.4550861120223999,1.1256741285324097,0.4233877956867218,0.7891062498092651,1.1640630960464478,-0.8697910904884338,-1.1199415922164917,5.959000110626221,0.23272667825222015,0.011181209236383438,-0.9522532224655151,1.0166574716567993,-0.26867905259132385,0.17791026830673218,0.6364851593971252,-0.447687566280365,1.108444094657898,0.41843748092651367,0.8051798939704895,1.2009673118591309,-0.8994116187095642,-1.1553146839141846,0.11705710738897324,0.004667836241424084,-0.47487151622772217,0.5070444941520691,0.27626654505729675,0.4987804889678955,-0.38047727942466736,-0.9222155809402466,-0.7164418697357178,-1.0621659755706787,2.0776846408843994,2.2743353843688965,-2.1697022914886475,-2.29740047454834,-0.00023688076180405915,-0.002423038939014077,0.0013177720829844475,0.0011729024117812514,0.42325663566589355,0.424008309841156,-0.7167990803718567,-0.7159966230392456,-1.3169301748275757,-1.3143502473831177,1.7161085605621338,1.7210146188735962,-1.7802329063415527,-1.7842804193496704,-0.029572805389761925,-0.02943570539355278,-0.014039025641977787,-0.013025213032960892,-0.06911829113960266,-0.17923645675182343,0.046477872878313065,0.027736712247133255,0.03902730345726013,0.27137866616249084,-0.1798388808965683,-0.11799577623605728,0.06556421518325806,0.045629315078258514
0.162,-0.06430180370807648,-0.04120602831244469,0.024971025064587593,0.8537226915359497,-2.2702369689941406,-0.9030793309211731,-0.008922699838876724,-0.00957510620355606,-0.9999143481254578,0.20000000298023224,0.0,0.0,0.0,0.0008471317705698311,-0.0015983524499461055,-0.013595419004559517,0.01624569110572338,0.4136420786380768,0.41842690110206604,-0.7158093452453613,-0.7362848520278931,-1.2865066528320312,-1.2959973812103271,1.7492570877075195,1.7819043397903442,-1.8359508514404297,-1.8484292030334473,-0.06300868839025497,-0.05784836411476135,-3.8068504333496094,3.796801805496216,-2.1422948837280273,-0.937810480594635,1.0736602544784546,-5.00570821762085,7.129949569702148,3.7727417945861816,6.279170989990234,13.972061157226562,-8.59005355834961,-10.553667068481445,0.23272667825222015,0.011181209236383438,-0.9522532224655151,1.0166574716567993,-0.26867905259132385,0.17791026830673218,0.6364851593971252,-0.447687566280365,1.108444094657898,0.41843748092651367,0.8051798939704895,1.2009673118591309,-0.8994116187095642,-1.1553146839141846,5.940000057220459,-0.21748872101306915,0.17798492312431335,-1.0507792234420776,0.9574426412582397,-0.16683554649353027,0.10572153329849243,0.3141103684902191,0.009471982717514038,0.8238566517829895,0.535506010055542,0.7808753252029419,0.6169107556343079,-0.9708520770072937,-1.1433086395263672,-0.0861642137169838,0.08055999875068665,-0.5203378200531006,0.4815536141395569,0.32173067331314087,0.46663275361061096,-0.5249879956245422,-0.7162491083145142,-0.8453487157821655,-1.009678840637207,2.0675623416900635,2.0134432315826416,-2.2035634517669678,-2.2939388751983643,0.0006476338603533804,0.0002448264276608825,-0.07040683925151825,0.07302512228488922,0.38928839564323425,0.409556120634079,-0.6852483153343201,-0.7877072691917419,-1.1972062587738037,-1.2458759546279907,1.8140307664871216,1.9251062870025635,-1.9090219736099243,-1.9354100227355957,0.18157625198364258,0.6751248240470886,-6.772314548492432,7.057982921600342,-2.891709089279175,-0.3877847194671631,4.466570854187012,-4.560811996459961,10.412574768066406,5.166285514831543,6.364585876464844,13.158330917358398,-6.373815059661865,-7.61327600479126
0.184,-0.012765718623995781,-0.08866860717535019,0.30293983221054077,0.4817126989364624,-2.1996660232543945,-1.0307869911193848,-0.03158896043896675,-0.016768841072916985,-0.9993602633476257,0.20000000298023224,0.0,0.0,0.0,-0.004743414930999279,0.009185819886624813,-0.15287676453590393,0.1364542543888092,0.37123993039131165,0.398115873336792,-0.6352370977401733,-0.8021188378334045,-1.1196620464324951,-1.1900370121002197,1.878105878829956,1.9968010187149048,-1.9792075157165527,-1.9974184036254883,-0.9706616997718811,1.390472412109375,-8.899771690368652,6.066348552703857,-1.5352451801300049,-1.1794304847717285,4.741179466247559,1.2511706352233887,7.96036958694458,4.910458564758301,6.136988639831543,2.6405413150787354,-4.852753162384033,-6.311836242675781,-0.21748872101306915,0.17798492312431335,-1.0507792234420776,0.9574426412582397,-0.16683554649353027,0.10572153329849243,0.3141103684902191,0.009471982717514038,0.8238566517829895,0.535506010055542,0.7808753252029419,0.6169107556343079,-0.9708520770072937,-1.1433086395263672,5.919000148773193,-0.19767503440380096,0.24814917147159576,-0.9682213068008423,1.2711451053619385,-0.13732421398162842,-0.18063224852085114,0.5405172109603882,-0.5766320824623108,0.7654434442520142,0.8406279683113098,0.8146505951881409,0.7893943190574646,-1.0058447122573853,-1.1351453065872192,-0.09757018089294434,0.1197231262922287,-0.4877333641052246,0.6201706528663635,0.3395571708679199,0.33455878496170044,-0.4375559985637665,-0.9593992829322815,-0.8845252990722656,-0.8671253323554993,2.0817489624023438,2.064971685409546,-2.222696304321289,-2.289919137954712,-0.0155984777957201,0.027160145342350006,-0.24025438725948334,0.20512263476848602,0.35824063420295715,0.3942297399044037,-0.5897612571716309,-0.7814885377883911,-1.049073576927185,-1.1474218368530273,1.9338496923446655,2.0087313652038574,-2.0283455848693848,-2.05460524559021,-1.2633432149887085,1.890556812286377,-7.924221515655518,7.341388702392578,-1.141682505607605,0.159658282995224,4.134249687194824,2.4169201850891113,6.2293853759765625,3.8079497814178467,4.775913238525391,0.48080208897590637,-6.262636184692383,-5.210831642150879
0.204,-0.0380861796438694,-0.159654438495636,0.0847196877002716,-0.6343528032302856,-2.227595567703247,-0.7065099477767944,-0.07355941087007523,-0.01805788464844227,-0.99712735414505,0.20000000298023224,0.0,0.0,0.0,-0.029556427150964737,0.04395538568496704,-0.29676559567451477,0.26690903306007385,0.35704919695854187,0.3873903453350067,-0.5545660853385925,-0.7608607411384583,-1.0177528858184814,-1.095070481300354,1.9755111932754517,2.0363271236419678,-2.096109628677368,-2.1015098094940186,-1.1701674461364746,1.623884916305542,-4.147520542144775,6.260767459869385,0.09115313738584518,-2.1990933418273926,3.369154691696167,0.4325233995914459,3.5015652179718018,6.986630916595459,3.7408483028411865,5.237422943115234,-2.8827133178710938,-3.631401300430298,-0.19767503440380096,0.24814917147159576,-0.9682213068008423,1.2711451053619385,-0.13732421398162842,-0.18063224852085114,0.5405172109603882,-0.5766320824623108,0.7654434442520142,0.8406279683113098,0.8146505951881409,0.7893943190574646,-1.0058447122573853,-1.1351453065872192,5.89900016784668,-0.06308761984109879,0.12562242150306702,-1.0796626806259155,1.1957165002822876,-0.10484850406646729,-0.060004182159900665,0.6759517788887024,-0.5777520537376404,0.857906699180603,0.8637113571166992,0.9476903080940247,0.881845235824585,-1.0671982765197754,-1.1487847566604614,-0.03814644739031792,0.06850240379571915,-0.53462153673172,0.6000894904136658,0.3559539020061493,0.37563398480415344,-0.36786726117134094,-0.9842183589935303,-0.8468344807624817,-0.8424823880195618,2.143035411834717,2.111727476119995,-2.252218723297119,-2.2956550121307373,-0.04084518179297447,0.06252016127109528,-0.3139529526233673,0.3196839988231659,0.3554932475090027,0.36947017908096313,-0.5239781141281128,-0.7581043243408203,-0.9829487204551697,-1.0372207164764404,2.0064711570739746,2.0826938152313232,-2.1409153938293457,-2.1287436485290527,-1.2688406705856323,1.7869442701339722,-0.20843404531478882,4.367863655090332,-0.2440146505832672,-1.5544391870498657,2.620534658432007,0.1334252953529358,3.056896686553955,5.038430213928223,2.781290292739868,4.295985698699951,-3.7388181686401367,-2.264822244644165
0.224,-0.09879546612501144,-0.13991081714630127,-0.1426645964384079,-0.5038264989852905,-1.4677603244781494,-1.0068490505218506,-0.1278502345085144,-0.005872695241123438,-0.9917761087417603,0.20000000298023224,0.0,0.0,0.0,-0.053568098694086075,0.07402753829956055,-0.32863283157348633,0.3504854142665863,0.35202592611312866,0.3543314039707184,-0.4999457001686096,-0.7656062245368958,-0.9424623847007751,-0.984071671962738,2.0442047119140625,2.133507013320923,-2.189614772796631,-2.1551506519317627,-1.0668480396270752,0.5722038745880127,-3.1101465225219727,2.19763445854187,0.3568550646305084,-0.8939951658248901,2.851287841796875,-2.1484603881835938,3.4632701873779297,3.980397939682007,3.880586862564087,5.734128952026367,-2.0718629360198975,-1.634649634361267,-0.06308761984109879,0.12562242150306702,-1.0796626806259155,1.1957165002822876,-0.10484850406646729,-0.060004182159900665,0.6759517788887024,-0.5777520537376404,0.857906699180603,0.8637113571166992,0.9476903080940247,0.881845235824585,-1.0671982765197754,-1.1487847566604614,5.877999782562256,-0.013653561472892761,0.011323858052492142,-0.9689524173736572,1.1841267347335815,-0.06128750741481781,-0.10246549546718597,0.7852951884269714,-0.38778847455978394,0.9722514748573303,0.9409549832344055,1.1193840503692627,1.0088716745376587,-1.346323847770691,-1.1473314762115479,-0.009958747774362564,0.011945975944399834,-0.48949071764945984,0.5928659439086914,0.37719598412513733,0.360633909702301,-0.31169387698173523,-0.9012166261672974,-0.7916102409362793,-0.8052585124969482,2.226426362991333,2.173564910888672,-2.380777597427368,-2.29557466506958,-0.05614456161856651,0.08204655349254608,-0.3524123728275299,0.36609765887260437,0.35530245304107666,0.34795504808425903,-0.4711894989013672,-0.7778981328010559,-0.9167168736457825,-0.9498538970947266,2.0763492584228516,2.1757795810699463,-2.219228506088257,-2.1687121391296387,0.20630976557731628,0.8420271873474121,-0.9216113686561584,1.1386882066726685,0.2016461193561554,-0.44491255283355713,2.397404670715332,-0.6892462372779846,2.197585105895996,2.9280483722686768,2.783322334289551,3.5729715824127197,-3.588636636734009,-1.3245888948440552
0.242,-0.09013930708169937,-0.1859080046415329,-0.2655390202999115,-0.7123972177505493,-1.2285652160644531,-0.9282518625259399,-0.15507733821868896,0.007764722686260939,-0.9878718256950378,0.20000000298023224,0.0,0.0,0.0,-0.04391390457749367,0.09604363888502121,-0.35727450251579285,0.3807758688926697,0.35645627975463867,0.3374645709991455,-0.44599252939224243,-0.7804058790206909,-0.8864262104034424,-0.9139931797981262,2.111954689025879,2.2126665115356445,-2.269070625305176,-2.18780255317688,1.9419512748718262,1.4641879796981812,-0.5327947735786438,1.9925310611724854,0.2593851685523987,-1.117258906364441,2.900862455368042,-0.14435578882694244,2.7406132221221924,3.3022923469543457,3.644822359085083,3.1155052185058594,-2.6515679359436035,-1.4115357398986816,-0.013653561472892761,0.011323858052492142,-0.9689524173736572,1.1841267347335815,-0.06128750741481781,-0.10246549546718597,0.7852951884269714,-0.38778847455978394,0.9722514748573303,0.9409549832344055,1.1193840503692627,1.0088716745376587,-1.346323847770691,-1.1473314762115479,5.860000133514404,-0.06705395132303238,-0.0934557169675827,-0.8671579360961914,1.1573467254638672,-0.1187065988779068,-0.0595804899930954,1.010063886642456,-0.4776232838630676,1.0612927675247192,0.9740756750106812,1.1024160385131836,0.9809018969535828,-1.4284162521362305,-1.1288858652114868,-0.031170152127742767,-0.04086047410964966,-0.43917012214660645,0.5800926089286804,0.353481650352478,0.37843215465545654,-0.2049306035041809,-0.9333420991897583,-0.7460193037986755,-0.7866318225860596,2.2271299362182617,2.1671624183654785,-2.430574893951416,-2.2872660160064697,-0.027865061536431313,0.09888333082199097,-0.3705677092075348,0.39043089747428894,0.36052802205085754,0.33006274700164795,-0.4151933491230011,-0.7805271744728088,-0.8642818927764893,-0.8880152106285095,2.1450376510620117,2.2438995838165283,-2.299835205078125,-2.2081477642059326,1.4944944381713867,-0.361797958612442,-1.0450366735458374,0.8790430426597595,0.533195972442627,-0.5200005173683167,2.8029978275299072,-0.10738730430603027,1.7332055568695068,2.265824794769287,2.9476263523101807,3.046703577041626,-4.326568126678467,-1.9785542488098145
0.263,-0.08848726004362106,-0.14538060128688812,-0.30460965633392334,-0.39504557847976685,-0.7975168824195862,-0.7456362247467041,-0.17597153782844543,0.01028370950371027,-0.984341561794281,0.20000000298023224,0.0,0.0,0.0,-0.01854241080582142,0.08299780637025833,-0.379905104637146,0.3945935368537903,0.3570185601711273,0.32794004678726196,-0.37959063053131104,-0.788454532623291,-0.8321340084075928,-0.8580995202064514,2.1628942489624023,2.278482437133789,-2.3516385555267334,-2.219707489013672,0.8502337336540222,-2.0000457763671875,-1.28281569480896,0.3966248631477356,-0.0045076049864292145,0.17027580738067627,3.6324198246002197,-0.6442482471466064,2.394437074661255,2.022688865661621,1.483672857284546,3.297776460647583,-4.733040809631348,-1.3417646884918213,-0.06705395132303238,-0.0934557169675827,-0.8671579360961914,1.1573467254638672,-0.1187065988779068,-0.0595804899930954,1.010063886642456,-0.4776232838630676,1.0612927675247192,0.9740756750106812,1.1024160385131836,0.9809018969535828,-1.4284162521362305,-1.1288858652114868,5.840000152587891,0.18185319006443024,-0.008251253515481949,-0.8995480537414551,1.1584032773971558,-0.03839947655797005,-0.0640866607427597,0.9508768916130066,-0.47197818756103516,1.2112178802490234,0.8575721979141235,1.103390097618103,1.0731550455093384,-1.572772741317749,-1.1300747394561768,0.07871691882610321,-0.007799111306667328,-0.44871360063552856,0.5792907476425171,0.3872483968734741,0.3781841993331909,-0.2208884209394455,-0.9340143203735352,-0.6739938855171204,-0.8371956944465637,2.2276384830474854,2.208035945892334,-2.5005152225494385,-2.2869701385498047,-0.008417746983468533,0.06179071217775345,-0.3904179334640503,0.3999941051006317,0.3592990040779114,0.3305971026420593,-0.3497720956802368,-0.7922552227973938,-0.815767765045166,-0.8409117460250854,2.1791112422943115,2.3050994873046875,-2.391230583190918,-2.2338287830352783,1.1113563776016235,-2.191164016723633,-0.8633719086647034,0.6113099455833435,0.3457176685333252,0.32798847556114197,2.579284906387329,-0.27670153975486755,1.200615406036377,1.5172324180603027,1.6425431966781616,2.268735647201538,-3.486708879470825,-1.3806054592132568
